Year,zipcode,PrimaryType,Count
2001,60601,ASSAULT,55
2001,60601,BATTERY,139
2001,60601,BURGLARY,36
2001,60601,CRIM SEXUAL ASSAULT,3
2001,60601,CRIMINAL DAMAGE,77
2001,60601,CRIMINAL TRESPASS,57
2001,60601,DECEPTIVE PRACTICE,127
2001,60601,HOMICIDE,1
2001,60601,LIQUOR LAW VIOLATION,2
2001,60601,MOTOR VEHICLE THEFT,43
2001,60601,NARCOTICS,14
2001,60601,OFFENSE INVOLVING CHILDREN,3
2001,60601,OTHER OFFENSE,137
2001,60601,PROSTITUTION,13
2001,60601,PUBLIC INDECENCY,1
2001,60601,PUBLIC PEACE VIOLATION,23
2001,60601,ROBBERY,18
2001,60601,SEX OFFENSE,5
2001,60601,STALKING,1
2001,60601,THEFT,1027
2001,60601,WEAPONS VIOLATION,2
2001,60602,ASSAULT,169
2001,60602,BATTERY,282
2001,60602,BURGLARY,70
2001,60602,CRIM SEXUAL ASSAULT,5
2001,60602,CRIMINAL DAMAGE,153
2001,60602,CRIMINAL TRESPASS,143
2001,60602,DECEPTIVE PRACTICE,675
2001,60602,GAMBLING,1
2001,60602,INTERFERENCE WITH PUBLIC OFFICER,4
2001,60602,INTIMIDATION,10
2001,60602,KIDNAPPING,1
2001,60602,LIQUOR LAW VIOLATION,9
2001,60602,MOTOR VEHICLE THEFT,62
2001,60602,NARCOTICS,71
2001,60602,OFFENSE INVOLVING CHILDREN,1
2001,60602,OTHER OFFENSE,187
2001,60602,PROSTITUTION,3
2001,60602,PUBLIC PEACE VIOLATION,38
2001,60602,ROBBERY,45
2001,60602,SEX OFFENSE,7
2001,60602,STALKING,1
2001,60602,THEFT,1880
2001,60602,WEAPONS VIOLATION,6
2001,60603,ASSAULT,107
2001,60603,BATTERY,170
2001,60603,BURGLARY,49
2001,60603,CRIM SEXUAL ASSAULT,2
2001,60603,CRIMINAL DAMAGE,106
2001,60603,CRIMINAL TRESPASS,145
2001,60603,DECEPTIVE PRACTICE,300
2001,60603,INTERFERENCE WITH PUBLIC OFFICER,3
2001,60603,INTIMIDATION,3
2001,60603,LIQUOR LAW VIOLATION,7
2001,60603,MOTOR VEHICLE THEFT,34
2001,60603,NARCOTICS,55
2001,60603,OTHER OFFENSE,126
2001,60603,PROSTITUTION,2
2001,60603,PUBLIC PEACE VIOLATION,39
2001,60603,ROBBERY,65
2001,60603,SEX OFFENSE,14
2001,60603,STALKING,1
2001,60603,THEFT,1958
2001,60603,WEAPONS VIOLATION,3
2001,60604,ASSAULT,55
2001,60604,BATTERY,117
2001,60604,BURGLARY,28
2001,60604,CRIM SEXUAL ASSAULT,1
2001,60604,CRIMINAL DAMAGE,75
2001,60604,CRIMINAL TRESPASS,50
2001,60604,DECEPTIVE PRACTICE,118
2001,60604,GAMBLING,2
2001,60604,INTIMIDATION,1
2001,60604,LIQUOR LAW VIOLATION,1
2001,60604,MOTOR VEHICLE THEFT,44
