Year,zipcode,PrimaryType,Count,SurpriseRatio
2013,60603,OTHER NARCOTIC VIOLATION,1,2432.711968
2016,60603,PUBLIC INDECENCY,2,2432.711968
2013,60604,OTHER NARCOTIC VIOLATION,1,2104.082456
2011,60602,OTHER NARCOTIC VIOLATION,2,1992.237542
2012,60604,NON-CRIMINAL,1,1753.402047
2010,60603,PUBLIC INDECENCY,1,1737.651405
2014,60603,NON-CRIMINAL,2,1431.00704
2013,60603,PUBLIC INDECENCY,1,1216.355984
2011,60603,PUBLIC INDECENCY,1,935.6584491
2010,60602,OTHER NARCOTIC VIOLATION,1,830.0989756
2011,60604,PUBLIC INDECENCY,1,809.2624831
2015,60604,HUMAN TRAFFICKING,1,809.2624831
2016,60603,NON-CRIMINAL,3,760.2224899
2012,60603,PUBLIC INDECENCY,1,715.5035199
2010,60602,PUBLIC INDECENCY,1,711.5134077
2014,60602,PUBLIC INDECENCY,1,498.0593854
2007,60602,OTHER NARCOTIC VIOLATION,1,415.0494878
2012,60604,OBSCENITY,1,404.6312416
2002,60604,PUBLIC PEACE VIOLATION,75,321.135906
2016,60603,THEFT,1587,313.9659656
2003,60602,OBSCENITY,1,311.2871159
2001,60604,PUBLIC PEACE VIOLATION,75,286.9203349
2015,60603,THEFT,1327,281.6444583
2016,60603,DECEPTIVE PRACTICE,409,276.3677559
2014,60603,DECEPTIVE PRACTICE,349,275.9593306
2012,60603,THEFT,1664,268.234406
2016,60606,PUBLIC INDECENCY,1,259.8195407
2013,60603,DECEPTIVE PRACTICE,288,258.8947774
2012,60661,OTHER NARCOTIC VIOLATION,2,256.5295602
2010,60603,THEFT,1608,254.8437663
2014,60603,THEFT,1258,248.6513963
2001,60603,DECEPTIVE PRACTICE,300,245.0189989
2013,60603,THEFT,1433,243.7065693
2012,60603,DECEPTIVE PRACTICE,268,241.7019379
2001,60603,THEFT,1958,239.9283745
2011,60603,THEFT,1482,239.8881586
2008,60603,DECEPTIVE PRACTICE,284,232.4820643
2016,60603,OBSCENITY,1,229.501129
2001,60602,DECEPTIVE PRACTICE,675,225.7369805
2009,60603,THEFT,1484,222.9254903
2015,60603,DECEPTIVE PRACTICE,283,221.2409174
2011,60602,STALKING,8,220.1367449
2005,60603,DECEPTIVE PRACTICE,245,219.8828422
2002,60603,THEFT,1769,218.8344743
2015,60603,CRIMINAL TRESPASS,115,218.5298205
2007,60603,DECEPTIVE PRACTICE,252,217.0833625
2005,60603,THEFT,1516,215.2063572
2010,60603,DECEPTIVE PRACTICE,220,214.9729406
2011,60603,INTIMIDATION,3,213.3957866
2004,60603,DECEPTIVE PRACTICE,232,213.2184271
2010,60603,CRIMINAL TRESPASS,164,212.1927256
2004,60603,THEFT,1665,212.1484463
2006,60603,THEFT,1492,210.4412356
2003,60603,THEFT,1703,209.5023252
2013,60603,CRIMINAL TRESPASS,140,209.3298558
2011,60603,CRIMINAL TRESPASS,149,209.3048176
2008,60603,THEFT,1499,206.1876761
2006,60603,DECEPTIVE PRACTICE,228,204.5351164
2016,60603,CRIMINAL TRESPASS,102,196.7152534
2007,60603,THEFT,1374,196.2601721
2006,60603,STALKING,3,196.186449
2002,60603,DECEPTIVE PRACTICE,220,195.1847676
2014,60603,CRIMINAL TRESPASS,119,192.0222368
2012,60603,CRIMINAL TRESPASS,129,191.0041654
2009,60603,DECEPTIVE PRACTICE,216,190.8286552
2005,60603,STALKING,3,190.0556225
2003,60603,CRIMINAL TRESPASS,228,187.2959845
2011,60603,DECEPTIVE PRACTICE,193,187.1615282
2002,60603,STALKING,3,182.4533976
2001,60602,INTIMIDATION,10,178.5159087
2003,60604,PUBLIC PEACE VIOLATION,41,177.5048986
2003,60603,DECEPTIVE PRACTICE,196,177.3324701
2014,60603,STALKING,2,173.7651405
2001,60603,PUBLIC PEACE VIOLATION,39,172.5013941
2006,60604,STALKING,3,169.684069
2002,60602,DECEPTIVE PRACTICE,467,169.6526134
2002,60603,PUBLIC PEACE VIOLATION,34,168.3195094
2013,60603,SEX OFFENSE,14,167.608108
2015,60603,LIQUOR LAW VIOLATION,4,166.6241074
2015,60602,INTIMIDATION,4,164.6477307
2003,60602,INTIMIDATION,12,164.1954018
2006,60602,INTIMIDATION,9,162.4106691
2013,60602,DECEPTIVE PRACTICE,439,161.5904739
2007,60603,SEX OFFENSE,20,159.9416152
2003,60602,DECEPTIVE PRACTICE,428,158.5610064
2006,60603,CRIMINAL TRESPASS,189,158.4910589
2009,60603,INTIMIDATION,3,157.9683096
2002,60603,CRIMINAL TRESPASS,180,157.7406895
2013,60604,INTIMIDATION,2,157.0210788
2012,60603,INTIMIDATION,2,155.9430748
2006,60601,RITUALISM,2,154.2146072
2016,60661,NON - CRIMINAL,1,153.9177361
2007,60603,CRIMINAL TRESPASS,169,150.0577862
2012,60603,LIQUOR LAW VIOLATION,7,148.5949718
2005,60603,SEX OFFENSE,22,148.4183674
2009,60603,CRIMINAL TRESPASS,127,142.3621878
2011,60603,SEX OFFENSE,12,136.4137552
2011,60603,STALKING,2,134.4039761
2005,60603,CRIMINAL TRESPASS,184,134.3797664
2008,60602,INTIMIDATION,7,133.5791455
2001,60603,CRIMINAL TRESPASS,145,133.2111916
2008,60603,SEX OFFENSE,16,131.1435023
2001,60603,INTIMIDATION,3,130.790966
2014,60602,DECEPTIVE PRACTICE,401,129.8328112
2015,60603,SEX OFFENSE,10,127.6344159
2010,60602,INTIMIDATION,5,126.4110115
2004,60603,CRIMINAL TRESPASS,165,126.1225019
2012,60602,DECEPTIVE PRACTICE,341,125.9273748
2004,60604,PUBLIC PEACE VIOLATION,29,122.2813451
2008,60602,DECEPTIVE PRACTICE,361,121.0037271
2016,60602,THEFT,1487,120.4583879
2005,60602,DECEPTIVE PRACTICE,326,119.8017853
2004,60602,DECEPTIVE PRACTICE,318,119.6697277
2003,60626,NON-CRIMINAL,1,119.6002114
2009,60626,NON-CRIMINAL,1,119.6002114
2010,60626,NON-CRIMINAL,1,119.6002114
2013,60626,HUMAN TRAFFICKING,2,119.6002114
2015,60602,THEFT,1376,119.58292
2002,60602,INTIMIDATION,8,118.233682
2010,60602,DECEPTIVE PRACTICE,295,118.0330324
2016,60603,INTERFERENCE WITH PUBLIC OFFICER,9,117.20775
2012,60603,SEX OFFENSE,10,115.843427
2010,60603,LIQUOR LAW VIOLATION,7,115.6860311
2003,60603,PUBLIC PEACE VIOLATION,23,115.1283441
2009,60602,DECEPTIVE PRACTICE,318,115.0369586
2004,60603,INTERFERENCE WITH PUBLIC OFFICER,5,114.5344617
2004,60602,INTIMIDATION,8,114.1683405
2016,60603,PUBLIC PEACE VIOLATION,15,113.6781293
2016,60603,ROBBERY,110,111.9096338
2010,60661,PUBLIC INDECENCY,1,109.9412401
2016,60602,DECEPTIVE PRACTICE,393,108.7369249
2013,60601,PUBLIC INDECENCY,2,107.950225
2015,60603,ARSON,4,107.8807968
2007,60603,INTERFERENCE WITH PUBLIC OFFICER,6,107.8011212
2014,60602,THEFT,1297,104.9713227
2008,60603,PUBLIC PEACE VIOLATION,26,104.9626803
2015,60602,DECEPTIVE PRACTICE,326,104.3559095
2014,60603,SEX OFFENSE,8,102.1075327
2006,60603,SEX OFFENSE,13,101.298064
2013,60654,NON-CRIMINAL,1,100.7837815
2014,60603,PUBLIC PEACE VIOLATION,24,100.559916
