Year,PrimaryType,zipcode,Count,pop,CrimesPerThousand,CitywideCrimesPerThousand,SurpriseRatio
2013,INTIMIDATION,60629,1,113916,0.008778398,0.022054865,-0.398025476
2016,NON-CRIMINAL,60629,1,113916,0.008778398,0.00790025,1.111154454
2001,OBSCENITY,60629,1,113916,0.008778398,0.003127182,2.807127043
2004,OBSCENITY,60629,1,113916,0.008778398,0.002139651,4.10272414
2008,OBSCENITY,60629,1,113916,0.008778398,0.002139651,-4.10272414
2012,OBSCENITY,60629,1,113916,0.008778398,0.004279302,2.05136207
2014,OBSCENITY,60629,1,113916,0.008778398,0.006089776,1.441497671
2001,OTHER NARCOTIC VIOLATION,60629,1,113916,0.008778398,0.000987531,-8.889235636
2008,OTHER NARCOTIC VIOLATION,60629,1,113916,0.008778398,0.001975063,4.444617818
2014,PUBLIC INDECENCY,60629,1,113916,0.008778398,0.001645885,-5.333541381
2016,PUBLIC INDECENCY,60629,1,113916,0.008778398,0.001645885,5.333541381
2014,STALKING,60629,1,113916,0.008778398,0.023042396,0.380967242
2014,NON - CRIMINAL,60623,1,92108,0.01085682,0.001645885,-6.596340166
2015,NON - CRIMINAL,60623,1,92108,0.01085682,0.003291771,3.298170083
2014,NON-CRIMINAL,60623,1,92108,0.01085682,0.002798005,-3.880200098
2015,NON-CRIMINAL,60623,1,92108,0.01085682,0.002468828,4.397560111
2003,OBSCENITY,60623,1,92108,0.01085682,0.002633417,-4.122712604
2009,OBSCENITY,60623,1,92108,0.01085682,0.003456359,3.141114365
2010,OBSCENITY,60623,1,92108,0.01085682,0.005431422,1.998890959
2015,PROSTITUTION,60623,1,92108,0.01085682,0.217586056,-0.049896673
2011,PUBLIC INDECENCY,60623,1,92108,0.01085682,0.002139651,-5.07410782
2009,GAMBLING,60618,1,92084,0.01085965,0.163107247,-0.066579812
2011,GAMBLING,60618,1,92084,0.01085965,0.121137169,0.089647546
2012,GAMBLING,60618,1,92084,0.01085965,0.119162106,-0.091133417
2013,GAMBLING,60618,1,92084,0.01085965,0.098094772,0.110705694
2014,GAMBLING,60618,1,92084,0.01085965,0.064683298,-0.167889552
2016,GAMBLING,60618,1,92084,0.01085965,0.031107235,-0.349103671
2009,HOMICIDE,60618,1,92084,0.01085965,0.07571073,-0.143436073
2014,HOMICIDE,60618,1,92084,0.01085965,0.069950131,0.155248456
2013,KIDNAPPING,60618,1,92084,0.01085965,0.039995016,0.271525077
2003,OBSCENITY,60618,1,92084,0.01085965,0.002633417,4.123787113
2006,OBSCENITY,60618,1,92084,0.01085965,0.002798005,-3.8812114
2008,OBSCENITY,60618,1,92084,0.01085965,0.002139651,-5.075430293
2010,OBSCENITY,60618,1,92084,0.01085965,0.005431422,-1.999411934
2011,OBSCENITY,60618,1,92084,0.01085965,0.006583542,-1.649514845
2014,OBSCENITY,60618,1,92084,0.01085965,0.006089776,1.783259292
2015,OTHER NARCOTIC VIOLATION,60618,1,92084,0.01085965,0.000822943,-13.19611876
2015,PROSTITUTION,60618,1,92084,0.01085965,0.217586056,0.049909678
2016,PROSTITUTION,60618,1,92084,0.01085965,0.131670835,0.082475742
2001,PUBLIC INDECENCY,60618,1,92084,0.01085965,0.001481297,7.33117709
2012,PUBLIC INDECENCY,60618,1,92084,0.01085965,0.002798005,3.8812114
2001,RITUALISM,60618,1,92084,0.01085965,0.001316708,8.247574226
2001,STALKING,60618,1,92084,0.01085965,0.033411474,0.325027556
2009,STALKING,60618,1,92084,0.01085965,0.027486287,0.395093376
2015,CONCEALED CARRY LICENSE VIOLATION,60632,1,91326,0.010949784,0.005596011,1.956712604
2007,GAMBLING,60632,1,91326,0.010949784,0.231905259,-0.047216628
2010,GAMBLING,60632,1,91326,0.010949784,0.152573581,-0.071767237
2015,GAMBLING,60632,1,91326,0.010949784,0.051022449,-0.214607189
2015,INTIMIDATION,60632,1,91326,0.010949784,0.019915214,-0.549820071
2016,INTIMIDATION,60632,1,91326,0.010949784,0.021725688,-0.504001731
2014,NON - CRIMINAL,60632,1,91326,0.010949784,0.001645885,-6.652822854
2015,NON - CRIMINAL,60632,1,91326,0.010949784,0.003291771,3.326411427
2016,NON-CRIMINAL,60632,1,91326,0.010949784,0.00790025,-1.386004761
2002,OBSCENITY,60632,1,91326,0.010949784,0.004279302,-2.558778021
2008,OBSCENITY,60632,1,91326,0.010949784,0.002139651,5.117556042
2009,OBSCENITY,60632,1,91326,0.010949784,0.003456359,3.168010883
2011,OBSCENITY,60632,1,91326,0.010949784,0.006583542,-1.663205714
2015,OBSCENITY,60632,1,91326,0.010949784,0.007571073,-1.446265838
2016,OBSCENITY,60632,1,91326,0.010949784,0.008723193,1.255249595
