PrimaryType,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OTHER OFFENSE,PROSTITUTION,PUBLIC PEACE VIOLATION,ROBBERY,THEFT,WEAPONS VIOLATION
2001,0.065420814,0.19479285,0.054220647,0.003741727,0.116422951,0.027599145,0.031044869,0.001946949,0.00139038,0.000846318,0.001944864,0.003412372,0.057426651,0.105408307,0.06181875,0.012561363,0.005732451,0.038440773,0.206918547,0.008909271
2002,0.065615301,0.19599035,0.053337802,0.003807315,0.116446811,0.028893131,0.028539252,0.00202127,0.001367636,0.000751471,0.001725678,0.002943436,0.05229282,0.107805933,0.067859306,0.013339134,0.005114584,0.038556093,0.204681187,0.008911491
2003,0.062821278,0.188346618,0.053612378,0.00338434,0.117239248,0.031556626,0.028651805,0.002318742,0.001287243,0.000869528,0.001502493,0.002793999,0.048480457,0.115698393,0.066380376,0.013243255,0.005178807,0.036937897,0.210722049,0.008974468
2004,0.062296887,0.188151715,0.053041967,0.003383682,0.11479902,0.034361538,0.028578832,0.002422777,0.000980339,0.001146608,0.001038641,0.002126947,0.049243692,0.123211799,0.063767396,0.016143207,0.005387547,0.034501895,0.206136837,0.009278673
2005,0.060439057,0.18749372,0.056951072,0.003443325,0.121807053,0.037191033,0.030264189,0.002407201,0.00101156,0.00137331,0.000868647,0.00224419,0.050236366,0.125571934,0.062587228,0.013675046,0.006096159,0.035833354,0.191336756,0.009168801
2006,0.058630251,0.182285958,0.054967131,0.003299293,0.129088243,0.032778254,0.030640492,0.003091393,0.00107792,0.001712921,0.000766069,0.002564862,0.049304098,0.126125658,0.061240308,0.015895363,0.006933036,0.036084326,0.194879768,0.008634657
2007,0.061003967,0.184516482,0.05762851,0.003551648,0.124606757,0.031758506,0.032734514,0.003266497,0.001038602,0.001569495,0.000765042,0.002712421,0.043057941,0.126241164,0.062276718,0.014111543,0.007685192,0.035817864,0.197417868,0.008239268
2008,0.06033469,0.180012993,0.062162726,0.003599169,0.125285705,0.029186939,0.035230603,0.002842822,0.00121632,0.001375177,0.000851187,0.002162347,0.044766742,0.110267828,0.062909589,0.012189281,0.007143806,0.039602716,0.209667018,0.009192345
2009,0.058961741,0.176573147,0.069033286,0.00363401,0.123086922,0.027986258,0.035509612,0.002555929,0.001186405,0.001477848,0.000755688,0.001924039,0.03993026,0.112303534,0.066028587,0.010161815,0.008116557,0.041212093,0.2088382,0.010724068
2010,0.058903656,0.178888229,0.072270834,0.003678914,0.111196208,0.025714106,0.034048419,0.002535579,0.00119804,0.002177261,0.000856134,0.002013146,0.052046379,0.118690799,0.060208372,0.006797102,0.009677322,0.039040255,0.209927871,0.010131374
2011,0.058770346,0.174079545,0.076645331,0.004221122,0.107491772,0.024932263,0.036115646,0.002119199,0.001258275,0.003017555,0.000765906,0.001782316,0.055821895,0.11116006,0.058128252,0.006979536,0.008911578,0.040259026,0.21636851,0.011171865
2012,0.060002593,0.17831608,0.068886282,0.004245836,0.108118051,0.024772404,0.040670167,0.002183228,0.001519816,0.003703045,0.00071166,0.001727887,0.04973177,0.107011359,0.052708078,0.006646181,0.009067635,0.040664136,0.227541245,0.011772546
2013,0.059362933,0.178386092,0.059108582,0.004185234,0.101915562,0.026872042,0.044696447,0.001968745,0.001393977,0.004231479,0.000802693,0.001536017,0.041555044,0.11273705,0.059412482,0.00545699,0.010355728,0.039044564,0.23625595,0.010722391
2014,0.062442262,0.182715119,0.053836035,0.004859248,0.10272044,0.027854762,0.056843965,0.001452232,0.001570479,0.005165953,0.000812954,0.001467013,0.036630971,0.107066049,0.062704624,0.00600847,0.010727298,0.036213408,0.227401725,0.011506995
2015,0.065742316,0.18868172,0.050850858,0.005204295,0.110609585,0.024694359,0.060024922,0.001195946,0.00192123,0.005046121,0.000732999,0.001126504,0.038860533,0.091960541,0.06765583,0.005100132,0.009339953,0.037186209,0.221095718,0.012970229
2016,0.071108816,0.190871432,0.054231483,0.005611856,0.117712277,0.023947208,0.068348451,0.000717619,0.002965399,0.003546328,0.000766979,0.000861902,0.042939428,0.050096632,0.065215988,0.00303754,0.006094065,0.045396038,0.233446355,0.013084204
