zip,pop
60626,50139
60660,42752
60640,65790
60657,65996
60610,37726
60613,48281
60647,87291
60625,78651
60614,66617
60651,64267
60659,38104
60639,90407
60618,92084
60623,92108
60615,40603
60645,45274
60641,71663
60649,46650
60611,28718
60622,52548
60601,11110
60644,48648
60653,29908
60661,7792
60629,113916
60608,82739
60616,48433
60636,40916
60624,38105
60637,49503
60621,35912
60632,91326
60619,63825
60620,72216
60630,54093
60634,74298
60609,64906
60612,33472
60652,40959
60628,72202
60643,49952
60631,28641
60656,27613
60617,84155
60655,28550
60607,23897
60606,2308
60605,24668
60646,27177
60638,55026
60603,493
60633,12927
60602,1204
60604,570
60654,14875
